GP,GS,#,Name,Class,Position,Height,Hometown,High School,team,teamID
30,27,11,Tippy Robertson,Sr.,G,5-4,"Chicago, IL",Phillips Academy HS,N.C. Central,560960
22,2,15,Sydney Avoletta,Jr.,F,6-4,"Sterling, VA",St. Paul VI Catholic,N.C. Central,560960
23,8,33,Nijah Cunningham,Jr.,C,6-4,"Charlotte, NC",,N.C. Central,560960
0,0,99,Tierney Coleman,Jr.,G,5-8,"Missouri City, TX",Trinity Christian School,N.C. Central,560960
31,30,5,Kyla Bryant,Fr.,G,5-7,"Salisbury, NC",Salisbury,N.C. Central,560960
26,8,12,Jada Tiggett,Fr.,G,6-2,"Winchester, CA",Rancho Christian School,N.C. Central,560960
28,5,13,Ray'ven Robinson,So.,G,5-8,"Minneapolis, MN",Cretin-Derham Hall,N.C. Central,560960
29,13,23,Janiah Jones,Jr.,G,5-6,"Woodbridge, VA",Forest Park,N.C. Central,560960
0,0,98,Jada Creech,Fr.,F,5-10,"Charlotte, NC",Winston Salem Christian School,N.C. Central,560960
35,35,22,Saniya Rivers,Jr.,G,6-1,"Wilmington, NC",Ashley,NC State,560962
38,38,21,Madison Hayes,Sr.,G,6-0,"Chattanooga, TN",East Hamilton,NC State,560962
38,38,10,Aziaha James,Jr.,G,5-9,"Virginia Beach, VA",Princess Anne,NC State,560962
36,1,11,Maddie Cox,Fr.,F,6-2,"Flower Mound, TX",Flower Mound,NC State,560962
37,36,2,Mimi Collins,Sr.,F,6-3,"Slidell, LA",Paul VI,NC State,560962
22,0,42,Mallory Collier,Fr.,C,6-3,"Millington, TN",Bartlett,NC State,560962
38,7,35,Zoe Brooks,Fr.,G,5-10,"South Plainfield, NJ",Saint John Vianney,NC State,560962
35,35,1,River Baldwin,Sr.,C,6-5,"Andalusia, AL",Pleasant Home,NC State,560962
19,0,15,Lizzy Williamson,Sr.,C,6-5,"Adelaide, Australia",Westminster School,NC State,560962
32,0,24,Laci Steele,Fr.,G,5-11,"Edmond, OK",Edmond North,NC State,560962
8,0,20,Katie Peneueta,Jr.,F,6-3,"Vancouver, WA",Heritage,NC State,560962
11,0,30,Jannah Eissa,Fr.,G,5-8,"Cairo, Egypt",Greenland International,NC State,560962
0,0,4,Alyssa Lewis,Fr.,G,5-7,"Harrisburg, NC",Hickory Ridge,NC State,560962
34,34,21,Elle Evans,So.,G,6-3,"Edwardsville, IL",Edwardsville,North Dakota St.,560965
34,33,2,Abbie Draper,Jr.,F,6-2,"Waverly, IA",Waverly-Shell Rock,North Dakota St.,560965
34,0,3,Leah Mackenzie,Fr.,G,5-8,"Melbourne, Australia",Box Hill Senior Secondary College,North Dakota St.,560965
10,1,15,Kristina Ekofo Yomane,Sr.,F,6-1,"Brussels, Belgium",,North Dakota St.,560965
33,33,24,Abby Schulte,Sr.,G,5-10,"Maple Grove, MN",Maple Grove,North Dakota St.,560965
7,2,5,Marwa Bedziri,Fr.,F,6-3,"Stockholm, Sweden",Fryshuset Gymnasium,North Dakota St.,560965
34,1,10,Abby Graham,So.,G,5-10,"Portland, OR",St. Mary's Academy,North Dakota St.,560965
34,34,11,Heaven Hamling,Sr.,G,5-8,"Grand Rapids, MN",Grand Rapids,North Dakota St.,560965
30,0,12,Taryn Hamling,Fr.,G,5-9,"Grand Rapids, MN",Grand Rapids,North Dakota St.,560965
34,31,40,Abby Krzewinski,Fr.,G,5-11,"Wayzata, MN",Wayzata,North Dakota St.,560965
7,0,1,Grace Massaquoi,So.,F,5-10,"Minneapolis, MN",Academy of Holy Angels,North Dakota St.,560965
33,1,32,Miriley Simon,Fr.,F,6-1,"West Fargo, ND",West Fargo,North Dakota St.,560965
34,0,22,Avery Koenen,Fr.,F,6-2,"Montevideo, MN",Montevideo,North Dakota St.,560965
29,6,22,Rakiyah Beal,So.,G,5-11,"Detroit, MI",Hamtramck HS,North Dakota,560967
6,0,55,Darcy Jardine,So.,F,6-4,"Cheyenne, WY",Cheyenne East HS,North Dakota,560967
30,8,2,Mikayla Aumer,So.,G,5-9,"Mora, MN",Cambridge-Isanti HS,North Dakota,560967
30,19,0,Deja Davis,Sr.,G,5-6,"Dallas, TX",Red Oak HS,North Dakota,560967
30,14,33,Miranda Vanderwal,So.,C,6-7,"Strathroy, Canada",Southwest Academy,North Dakota,560967
27,22,5,Nakiyah Hurst,So.,G,5-11,"Milwaukee, WI",Milwaukee Academy of Science HS,North Dakota,560967
18,1,23,Destinee Oberg,Sr.,C,6-3,"Burnsville, MN",John F. Kennedy,North Dakota,560967
17,0,10,Fatima Ibrahim,Fr.,C,6-3,"Winnipeg, Canada",Royal Crown Academy,North Dakota,560967
30,29,21,Sammiyah Hoskin,Sr.,G,5-10,"Detroit, MI",Wayne Memorial HS,North Dakota,560967
29,3,7,Nevaeh Ferrara Horne,Fr.,F,6-2,"Regina, Canada",Southwest Academy,North Dakota,560967
29,3,44,Jayla Owen,So.,G,5-6,"Dorval, Canada",Dawson College,North Dakota,560967
27,27,11,Kacie Borowicz,Sr.,G,5-9,"Roseau, MN",Roseau HS,North Dakota,560967
27,18,9,Kiera Pemberton,Fr.,F,6-1,"Langley, Canada",Walnut Grove Secondary,North Dakota,560967
19,0,13,Mahogany Cottingham,Fr.,G,5-8,"Parma, OH",Parma,North Dakota,560967
0,0,1,Paris Bass,Fr.,F,5-11,"Detroit, MI",Wayne Memorial,North Dakota,560967
32,32,4,Jaaucklyn Moore,Sr.,G,5-8,"Round Rock, TX",Round Rock,North Texas,560969
32,0,3,Desiree Wooten,So.,G,5-8,"Arlington, TX",Mansfield Timberview,North Texas,560969
13,0,5,Breanna Davis,So.,G,5-9,"Red Oak, TX",Red Oak,North Texas,560969
32,28,2,Ereauna Hardaway,So.,G,5-8,"Jonesboro, AR",Jonesboro,North Texas,560969
7,0,11,Jahcelyn Hartfield,So.,G,5-11,"Grand Prairie, TX",South Grand Prairie,North Texas,560969
32,32,24,Tommisha Lampkin,Sr.,F,6-2,"Mansfield, TX",Summit,North Texas,560969
27,0,14,Maddie Cleary,Sr.,G,5-10,"Prosper, TX",Prosper,North Texas,560969
32,0,35,Aniyah Johnson,Jr.,F,6-2,"Killeen, TX",Red Oak,North Texas,560969
32,0,21,Jaylen Mallard,Sr.,F,6-2,"Little Rock, AR",eSTEM Public Charter School,North Texas,560969
0,0,1,Sophie Benharouga,Jr.,F,6-1,"Grenoble, France",Lycee Auguste et louis Lumiere Lyon 8,North Texas,560969
32,32,10,DesiRay Kernal,Sr.,F,6-0,"Newton, KS",Newton,North Texas,560969
32,4,12,Dyani Robinson,Sr.,G,5-7,"Cypress, TX",Langham Creek,North Texas,560969
32,32,20,Shamaryah Duncan,Sr.,G,5-11,"Waco, TX",Midway,North Texas,560969
21,0,23,Shadasia Brackens,Fr.,F,5-11,"Fairfield, TX",Fairfield,North Texas,560969
0,0,22,Michaela Bosmans,Fr.,G,5-9,"Fountain, CO",Fountain Fort Carson,North Texas,560969
7,0,44,Sha'Miya Butler,So.,C,6-2,"West Monroe, LA",West Monroe High School,ULM,560971
10,0,13,Rhi Ockwell,Jr.,F,6-1,"Kilsyth, Australia",Box Hill Senior Secondary College,ULM,560971
31,0,0,Olivia Knight,Jr.,G,5-3,"Pearl, MS",Pearl High School,ULM,560971
5,0,14,Myca Trail,So.,F,5-10,"Lake Charles, LA",St. Louis Catholic High School,ULM,560971
0,0,10,Amani Brown,Sr.,G,5-5,"Terre Haute, IN",Terre Haute South Vigo High School,ULM,560971
35,2,21,Katlyn Manuel,Jr.,F,6-1,"Church Point, LA",Northwest High School,ULM,560971
7,0,15,Amaya Ford,Jr.,G,5-11,"Starkville, MS",Starkville High School,ULM,560971
14,0,1,Chardai Watkins,So.,G,5-9,"Panola, AL",Sumter Central High School,ULM,560971
35,35,3,Jakayla Johnson,Jr.,G,5-9,"Clinton, MS",Clinton High School,ULM,560971
30,29,37,Brianna Harris,Sr.,F,6-0,"Mobile, AL",Blount High School,ULM,560971
35,35,2,Daisha Bradford,Sr.,G,5-8,"Mobile, AL",LeFlore High School,ULM,560971
35,35,22,Lauren Gross,Sr.,G,5-9,"Southaven, MS",Northpoint Christian School,ULM,560971
32,30,8,Sania Wells,Sr.,G,5-7,"Moss Point, MS",East Central High School,ULM,560971
34,9,11,Kyjai Miles,Sr.,F,6-1,"Dallas, TX",Skyline High School,ULM,560971
6,0,4,Dee Haymer,Sr.,G,5-8,"Tchula, MS",Holmes County Central High School,ULM,560971
27,27,1,Derin Erdogan,Sr.,G,5-6,"Istanbul, Turkey",Istanbul Universitesi SK,Northeastern,560973
23,7,11,Oralye Kiefer,So.,F,6-3,"Wayland, MA",Beaver Country Day School,Northeastern,560973
2,0,21,Ariana Webb,So.,G,5-9,"Hayward, CA",Moreau Catholic,Northeastern,560973
23,0,32,Marian Turnbull,So.,G,5-7,"Pittsburgh, PA",Chartiers Valley,Northeastern,560973
27,25,31,Deja Bristol,Sr.,F,6-1,"Upper Marlboro, MD",New Hope Academy,Northeastern,560973
17,0,35,Halle Idowu,Sr.,F,5-11,"Calumet Park, IL",Harold L. Richards,Northeastern,560973
1,0,14,Amyrah Sapenter,Sr.,G,5-8,"Dallas, TX",Newtown (CT),Northeastern,560973
0,0,12,Camille Clement,Jr.,G,5-8,"Cumberland, ME",Greely,Northeastern,560973
13,9,23,Gemima Motema,Jr.,G,5-9,"Portland, ME",Portland,Northeastern,560973
13,8,24,Asha Parker,Jr.,F,6-2,"Milford, CT",Northfield Mount Hermon,Northeastern,560973
27,27,22,Maddie Vizza,Sr.,G,5-6,"Southampton, PA",Germantown Academy,Northeastern,560973
14,4,20,Sophia Carlisle,Fr.,F,6-3,"Alexandria, VA",Bishop O'Connell,Northeastern,560973
17,11,0,Jaelyn Batts,Sr.,F,6-0,"South Riding, VA",Freedom H.S.,Northeastern,560973
27,17,15,Yirsy Quéliz,Fr.,G,5-4,"Concepción de la Vega, Dominican Republic",St. Mary's,Northeastern,560973
15,0,11,Audrey Taylor,So.,G,5-6,"Boise, ID",Timberline,Northern Ariz.,560975
35,35,12,Sophie Glancey,So.,F,6-2,"Boise, ID",Timberline,Northern Ariz.,560975
35,10,5,Taylor Feldman,So.,G,5-8,"Tustin, CA",Crean Lutheran,Northern Ariz.,560975
35,0,33,Saniyah Neverson,So.,F,6-1,"Surprise, AZ",PHH Prep,Northern Ariz.,560975
34,6,22,Olivia Moran,Jr.,F,5-11,"Riverside, CA",King,Northern Ariz.,560975
34,33,21,Emily Rodabaugh,Sr.,G,6-0,"Lynnwood, WA",Archbishop Murphy,Northern Ariz.,560975
34,33,2,Nyah Moran,Jr.,F,5-11,"Riverside, CA",King,Northern Ariz.,560975
14,0,24,Reilly Clark,Fr.,G,5-10,"Tucson, AZ",Catalina Foothills,Northern Ariz.,560975
26,0,1,Allie Cummins,Fr.,F,5-9,"Concord, CA",Carondelet,Northern Ariz.,560975
23,0,13,Ava Schmidt,Fr.,F,6-2,"Sammamish, WA",Eastlake,Northern Ariz.,560975
28,24,3,Grace Beasley,Jr.,G,5-7,"Melbourne, Australia",Caulfield,Northern Ariz.,560975
35,34,15,Leia Beattie,Jr.,G,5-9,"Midland, TX",Midland Classical,Northern Ariz.,560975
0,0,10,Ceren Oturakci,Fr.,F,6-1,"Ankara, Turkey",Hasan Ali Yucel,Northern Ariz.,560975
2,0,1,Luka Malinka,Jr.,G,5-8,"Rungsted, Denmark",Rungsted Gymnasium,Northern Colo.,560977
28,1,11,Lilah Moore,So.,F,5-10,"Phoenix, AZ",Pinnacle,Northern Colo.,560977
31,30,15,Gabi Fields,So.,G,5-5,"Brownfield, TX",Brownfield,Northern Colo.,560977
21,0,4,Paisley Specht,So.,F,5-11,"Folsom, CA",Folsom,Northern Colo.,560977
29,5,22,Aniah Hall,So.,F,6-3,"Temple, TX",Belton,Northern Colo.,560977
8,0,30,Avery Bang,So.,F,6-0,"Parker, CO",Chaparral,Northern Colo.,560977
31,31,12,Delaynie Byrne,Sr.,F,6-3,"Arvada, CO",Ralston Valley,Northern Colo.,560977
31,31,10,Hannah Simental,Sr.,G,5-8,"Pueblo, CO",Pueblo West,Northern Colo.,560977
9,0,5,Michelle Duchemin,Jr.,F,6-0,"Encino, CA",Winward School,Northern Colo.,560977
19,0,23,Ashley Panem,Jr.,G,5-10,"Broomfield, CO",Fairview High School,Northern Colo.,560977
31,30,24,Tatum West,Fr.,F,6-1,"Combine, TX",Crandall,Northern Colo.,560977
22,0,42,Tena Ikidi,Jr.,F,6-3,"Bayelsa, Nigeria",,Northern Colo.,560977
13,2,25,Tiani Abrams,So.,G,6-1,"Vista, CA",Rancho Buena Vista HS,Northern Colo.,560977
30,25,3,Seneca Hackley,Jr.,G,5-9,"Colorado Springs, CO",Saint Mary's,Northern Colo.,560977
31,17,21,Tara Stauffacher,Sr.,F,5-11,"Columbus, WI",Beaver Dam,NIU,560979
31,27,14,Kortney Drake,Sr.,G,5-9,"Wilton, IA",Wilton,NIU,560979
30,14,41,Brooke Blumenfeld,So.,F,6-0,"Northbrook, IL",Glenbrook North,NIU,560979
31,17,2,Sidney McCrea,Sr.,G,5-10,"Cedar Rapids, IA",Prairie,NIU,560979
31,31,34,Brooke Stonebraker,Sr.,F,6-3,"Versailles, OH",Versailles,NIU,560979
22,4,32,Laura Nickel,Jr.,G,6-0,"Marshall, WI",Marshall,NIU,560979
19,0,33,Moriah Prewitt,Jr.,G,5-8,"Urbandale, IA",Des Moines Christian School,NIU,560979
31,31,3,Jayden Marable,Sr.,G,5-6,"Bolingbrook, IL",Bolingbrook,NIU,560979
21,0,24,Maddy Fay,Fr.,F,6-1,"Palatine, IL",Fremd,NIU,560979
26,0,12,Shannon Blacher,Fr.,G,5-10,"Burr Ridge, IL",Montini Catholic,NIU,560979
0,0,10,Chelby Koker,Sr.,G,5-6,"Racine, WI",Shoreland Lutheran,NIU,560979
29,14,15,Grace Hunter,Sr.,G,5-10,"Monroeville, IN",Bellmont HS,NIU,560979
11,0,31,Jayde Van Hyfte,Sr.,F,6-1,"Annawan, IL",,NIU,560979
17,0,3,Ellie Foster,So.,G,5-11,"Dike, IA",Dike-New Hartford,UNI,560982
27,2,5,Ryley Goebel,So.,F,5-11,"Center Point, IA",Center Point-Urbana,UNI,560982
11,0,14,Riley Wright,So.,G,5-11,"Marion, IA",Marion HS,UNI,560982
31,30,0,Maya McDermott,Jr.,G,5-6,"Johnston, IA",Johnston HS,UNI,560982
32,26,24,Kayba Laube,Jr.,G,5-9,"Marion, IA",Marion HS,UNI,560982
20,19,4,Emerson Green,Jr.,G,5-10,"Cedar Falls, IA",Cedar Falls HS,UNI,560982
26,26,42,Grace Boffeli,Jr.,F,6-1,"Eldridge, IA",North Scott HS,UNI,560982
32,2,22,Taryn Wharton,So.,G,5-5,"Bellevue, NE",Bellevue West Point HS,UNI,560982
32,31,13,Shateah Wetering,Jr.,F,6-0,"Montezuma, IA",Montezuma HS,UNI,560982
13,0,33,Katy Reyerson,Fr.,F,6-2,"State Center, IA",West Marshall HS,UNI,560982
23,0,23,Bri Robinson,Fr.,G,5-8,"Lincoln, NE",Lincoln HS,UNI,560982
32,4,32,Rachael Heittola,Sr.,F,6-3,"Belleville, WI",Belleville,UNI,560982
32,20,2,Cailyn Morgan,Sr.,G,5-10,"Coralville, IA",Iowa City West HS,UNI,560982
10,0,25,Emily Holterhaus,Sr.,F,6-2,"Pella, IA",Pella HS,UNI,560982
0,0,5,Mya Meredith,Jr.,G,5-11,"Taylormill, KY",Scott HS,Northern Ky.,560984
24,8,1,Allison Basye,So.,G,5-11,"Chillicothe, OH",Huntington,Northern Ky.,560984
24,21,3,Kailee Davis,Jr.,G,5-2,"Detroit, MI",Renaissance,Northern Ky.,560984
22,8,14,Kennedy Igo,Sr.,G,5-7,"Mount Sterling, KY",George Rogers Clark,Northern Ky.,560984
18,0,4,Paige Hodgson,Jr.,F,6-4,"Beaver Dam, WI",Beaver Dam,Northern Ky.,560984
30,30,11,Khamari Mitchell-Steen,Jr.,G,5-7,"Oak Ridge, TN",Oak Ridge,Northern Ky.,560984
31,28,20,Macey Blevins,Jr.,G,5-10,"Monticello, KY",Wayne County HS,Northern Ky.,560984
29,3,2,Kalissa Lacy,Jr.,G,5-9,"Charleston, WV",George Washington,Northern Ky.,560984
28,2,33,Gabby Razzano,Fr.,F,6-2,"Mason, OH",Mason HS,Northern Ky.,560984
3,0,0,Meadow Tisdale,Fr.,F,5-11,"Bowling Green, KY",Bowling Green HS,Northern Ky.,560984
7,0,24,Madison French,Fr.,G,5-11,"Liberty Township, OH",Lakota East HS,Northern Ky.,560984
31,24,22,Noelle Hubert,Fr.,G,5-11,"Burlington, KY",Notre Dame Academy,Northern Ky.,560984
31,31,5,Carter McCray,Fr.,C,6-1,"Oberlin, OH",Elyria Catholic HS,Northern Ky.,560984
29,29,11,Jasmin Dixon,Jr.,F,6-3,"Spring, TX",Klein Forest HS,Northwestern St.,560986
25,24,3,Jiselle Woodson,Sr.,G,5-5,"Corner, AK",Corner HS,Northwestern St.,560986
27,2,24,Jordan Todd,Sr.,C,6-1,"Eagle River, AK",Anchorage Christian,Northwestern St.,560986
8,0,20,Jordan McLemore,Jr.,G,5-11,"Shreveport, LA",Captain Shreve HS,Northwestern St.,560986
30,30,35,Sharna Ayres,Sr.,G,5-10,"Melbourne, Australia",Box Hill Senior Secondary,Northwestern St.,560986
27,1,12,Ivona Miljanic,So.,G,6-0,"Belgrade, Serbia",Mathematical Grammar School,Northwestern St.,560986
1,0,32,Madison Moles,So.,C,6-6,"Fresno, CA",Washington Union HS,Northwestern St.,560986
28,0,5,Jenny Ntambwe,So.,F,6-1,"Coon Rapids, MN",Coon Rapids HS,Northwestern St.,560986
3,0,33,Niaisya Ervin,Jr.,G,5-10,"Newark, NJ",Saint Rose HS,Northwestern St.,560986
30,15,15,Carla Celaya,So.,G,5-11,"Barcelona, Spain",Salesians Horta,Northwestern St.,560986
30,29,4,Karmelah Dean,Sr.,G,5-7,"Seattle, WA",Roosevelt HS,Northwestern St.,560986
7,0,21,Mykaila Pickard,Jr.,G,5-10,"Anchorage, AK",Anchorage Christian School,Northwestern St.,560986
28,4,1,Jermesha Frierson,Fr.,G,5-7,"Shreveport, LA",Southwood HS,Northwestern St.,560986
30,16,13,Nia Hardison,Jr.,G,5-7,"Natchitoches, LA",Natchitoches Central HS,Northwestern St.,560986
7,0,31,Ane Astarloa,Fr.,G,6-3,"Berriz, Spain",Fray Juan de Zumarrago,Northwestern St.,560986
10,0,23,Jordan Brown,Jr.,G,5-9,"Plainsboro, NJ",West Windsor-Plainsboro HS North,Northwestern St.,560986
0,0,25,Lauren Trumpy,So.,F,6-5,"Camp Hill, PA",Trinity High School,Northwestern,560987
30,28,10,Caileigh Walsh,Jr.,F,6-3,"Sparta, NJ",Gill St. Bernards,Northwestern,560987
30,19,21,Melannie Daley,Jr.,G,5-11,"Hastings, NY",Hastings High School,Northwestern,560987
30,30,2,Caroline Lau,So.,G,5-9,"Westport, CT",St. Luke's School,Northwestern,560987
26,1,22,Alana Goodchild,So.,F,6-2,"Sydney, Australia",Australian Institute of Sport,Northwestern,560987
30,6,23,Jasmine McWilliams,Sr.,G,5-11,"Indianapolis, IN",North Central,Northwestern,560987
26,0,13,Mercy Ademusayo,Jr.,F,6-4,"Ode Irele, Nigeria",Linden Hall School for Girls,Northwestern,560987
28,14,11,Hailey Weaver,Jr.,G,5-11,"Solon, OH",Solon High School,Northwestern,560987
30,27,20,Paige Mott,Sr.,F,6-1,"Philadelphia, PA",Abington Friends,Northwestern,560987
3,0,0,Rachel Mutombo,Fr.,F,6-3,"Silver Spring, MD",Good Counsel,Northwestern,560987
30,16,12,Casey Harter,Fr.,G,5-11,"Harleysville, PA",Souderton High School,Northwestern,560987
30,9,3,Maggie Pina,Sr.,G,5-7,"West Chester, PA",Academy of Notre Dame de Namur,Northwestern,560987
21,0,31,Crystal Wang,Fr.,F,6-2,"Beijing, China",Sierra Canyon (Calif.),Northwestern,560987
5,3,4,Cassandre Prosper,So.,G,6-2,"Montreal, Canada",Cairine Wilson Secondary School,Notre Dame,560990
33,7,14,KK Bransford,So.,G,5-11,"Cincinnati, OH",Mount Notre Dame,Notre Dame,560990
31,31,22,Kylee Watson,Sr.,F,6-4,"Linwood, NJ",Mainland HS,Notre Dame,560990
26,26,11,Sonia Citron,Jr.,G,6-1,"Scarsdale, NY",The Ursuline School,Notre Dame,560990
34,34,21,Maddy Westbeld,Sr.,F,6-3,"Kettering, OH",Fairmont,Notre Dame,560990
0,0,5,Olivia Miles,Jr.,G,5-10,"Phillipsburg, NJ",Blair Academy,Notre Dame,560990
34,4,15,Natalija Marshall,Sr.,F,6-5,"Queens Village, NY",Christ the King,Notre Dame,560990
15,0,25,Sarah Cernugel,Sr.,G,5-5,"Westmont, IL",Hinsdale Central,Notre Dame,560990
35,35,13,Anna DeWolfe,Sr.,G,5-8,"Cumberland, ME",Greely,Notre Dame,560990
35,35,3,Hannah Hidalgo,Fr.,G,5-6,"Haddonfield, NJ",Paul VI,Notre Dame,560990
7,0,2,Emma Risch,Fr.,G,6-1,"Melbourne, FL",Palm Bay Magnet,Notre Dame,560990
16,0,10,Becky Obinma,Sr.,F,6-0,"Menifee, CA",Rosary Academy,Notre Dame,560990
20,2,45,Cameron Grant,So.,F,6-1,"Macomb, MI",Macomb Dakota,Oakland,560991
29,29,5,Brooke Quarles-Daniels,So.,G,5-6,"Macomb, MI",L'Anse Creuse North,Oakland,560991
4,0,13,Eva Pardo-Campillo,So.,F,6-1,"Corvera de Asturias, Spain",Galen,Oakland,560991
29,27,23,Alexis Johnson,Sr.,F,5-10,"Southfield, MI",Southfield A&T,Oakland,560991
0,0,40,Lianna Baxter,So.,C,6-2,"Marinette, WI",Oconto,Oakland,560991
29,29,3,Linda Van Schaik,Sr.,F,5-10,"Oud-Beijerland, Netherlands",,Oakland,560991
26,21,33,Miriam Ibezim,Jr.,F,6-2,"Rochester, NY",Gates Chili,Oakland,560991
29,0,25,Kennedie Montue,Jr.,G,5-11,"Pittsburgh, PA",Plum,Oakland,560991
25,1,1,Jasmine Dupree-Hebert,Fr.,G,5-8,"Dayton, MN",Hopkins,Oakland,560991
27,1,2,Maddy Skorupski,So.,G,5-8,"Clarkston, MI",Clarkston,Oakland,560991
9,0,0,Naveyah Damon,Fr.,G,6-0,"Miami, FL",Miami Country Day School,Oakland,560991
29,28,10,Markyia McCormick,Sr.,G,5-6,"Pickerington, OH",Canal Winchester,Oakland,560991
27,0,21,Madison Royal-Davis,Jr.,G,5-11,"Toledo, OH",Toledo Christian,Oakland,560991
10,7,12,Kianni Westbrook,Sr.,F,6-3,"Augusta, GA",Burke County,Oakland,560991
15,0,11,Kaia Henderson,So.,G,5-6,"Utica, NY",,Ohio St.,560993
32,32,32,Cotie McMahon,So.,F,6-0,"Centerville, OH",,Ohio St.,560993
27,0,5,Emma Shumate,So.,G,6-1,"Dresden, OH",,Ohio St.,560993
31,0,1,Rikki Harris,Sr.,G,5-10,"Indianapolis, IN",,Ohio St.,560993
24,0,0,Madison Greene,Sr.,G,5-8,"Pickerington, OH",,Ohio St.,560993
32,32,2,Taylor Thierry,Jr.,G,6-1,"Cleveland, OH",,Ohio St.,560993
32,32,4,Jacy Sheldon,Sr.,G,5-10,"Dublin, OH",,Ohio St.,560993
23,1,22,Eboni Walker,Sr.,F,6-0,"Las Vegas, NV",Centennial HS,Ohio St.,560993
6,0,15,Karla Vres,Sr.,F,6-3,"Zagreb, Croatia",Jensen Gymnasium Sodra (Stockholm),Ohio St.,560993
31,31,23,Rebeka Mikulasikova,Sr.,F,6-4,"Nitra, Slovakia",,Ohio St.,560993
0,0,3,Kennedy Cambridge,So.,G,5-8,"Nashville, TN",Ensworth High School,Ohio St.,560993
30,0,14,Taiyier Parks,Sr.,F,6-3,"Cleveland, OH",North Royalton,Ohio St.,560993
7,0,54,Faith Carson,Fr.,C,6-4,"Buchanan, MI",,Ohio St.,560993
18,0,20,Diana Collins,Fr.,G,5-9,"Lilburn, GA",,Ohio St.,560993
32,32,12,Celeste Taylor,Sr.,G,5-11,"Valley Stream, NY",Long Island Lutheran,Ohio St.,560993
22,17,0,Jaya McClure,So.,G,5-6,"Louisville, KY",School-Christian Academy,Ohio,560996
9,0,41,Cassidy Lafler,So.,G,5-11,"Dublin, OH",Dublin Coffman,Ohio,560996
28,3,3,Madi Mace,Sr.,G,5-11,"Parkersburg, WV",Parkersburg,Ohio,560996
30,30,14,Kate Dennis,Jr.,G,6-1,"Rockford, IL",Guilford,Ohio,560996
25,11,11,Peyton Guice,Sr.,G,5-11,"Westerville, OH",Westerville South,Ohio,560996
12,0,10,Kailah Johnson,Sr.,G,5-8,"Holland, OH",Notre Dame Academy,Ohio,560996
0,0,24,Aja Austin,Jr.,F,6-1,"Westerville, OH",Westerville South,Ohio,560996
26,21,5,Kennedi Watkins,Jr.,G,5-10,"Ballwin, MO",Marquette,Ohio,560996
30,30,13,Monica Williams,Fr.,G,5-9,"Indianapolis, IN",Lawrence North,Ohio,560996
30,13,21,Bailey Tabeling,Fr.,G,5-10,"Seymour, IN",Trinity Lutheran,Ohio,560996
5,0,34,Emma Barnett,Fr.,F,6-1,"Mount Washington, KY",Mercy Academy,Ohio,560996
28,6,2,Laylay Fantroy,Fr.,G,5-11,"Palestine, TX",Palestine,Ohio,560996
12,0,22,Asiah Baxter,Fr.,G,5-11,"Indianapolis, IN",Warren Central,Ohio,560996
28,19,33,Bengisu Alper,Sr.,G,5-11,"Istanbul, Turkey",Doga Anataolian,Ohio,560996
30,30,4,Anna Gret Asi,Jr.,G,5-8,"Tartu, Estonia",Tartu University,Oklahoma St.,560997
26,6,24,Praise Egharevba,Fr.,F,6-3,"Papenburg, Germany",Nottingham Academy,Oklahoma St.,560997
30,30,12,Lior Garzon,Sr.,F,6-1,"Ra'anana, Israel",Hof HaSharon,Oklahoma St.,560997
0,0,34,Landry Williams,Jr.,G,5-9,"Tulsa, OK",Metro Christian Academy,Oklahoma St.,560997
12,0,15,Brenna Butler,Fr.,G,5-6,"Gruver, TX",Gruver,Oklahoma St.,560997
10,0,45,Emilee Ebert,Sr.,G,6-0,"Frankfort, KS",Frankfort,Oklahoma St.,560997
21,20,21,Hannah Gusters,Jr.,C,6-5,"Dallas, TX",MacArthur,Oklahoma St.,560997
2,0,1,Ale'Jah Douglas,Sr.,G,5-6,"Omaha, NE",Northwest,Oklahoma St.,560997
5,0,2,Kennedy Fauntleroy,So.,G,5-7,"Upper Marlboro, MD",New Hope Academy,Oklahoma St.,560997
5,0,5,Chandler Prater,Sr.,G,5-10,"Kansas City, MO",North Kansas City,Oklahoma St.,560997
30,30,0,Quincy Noble,Sr.,G,5-10,"McKinney, TX",McKinney,Oklahoma St.,560997
4,0,23,Brianna Jackson,Sr.,F,6-3,"Virginia Beach, VA",Princess Anne,Oklahoma St.,560997
30,30,32,Stailee Heard,Fr.,G,5-11,"Sapulpa, OK",Sapulpa,Oklahoma St.,560997
29,4,11,Rylee Langerman,Sr.,G,5-9,"Norman, OK",Christian Heritage,Oklahoma St.,560997
14,0,22,Mia Galbraith,Fr.,G,5-9,"Sunshine Coast, Australia",Lake Travis,Oklahoma St.,560997
0,0,11,Kayla Cooper,So.,G,5-9,"Plano, TX",Plano East,Oklahoma,560999
33,2,0,Beatrice Culliton,So.,C,6-3,"Overland Park, KS",St. Thomas Aquinas,Oklahoma,560999
33,0,2,Reyna Scott,So.,G,5-10,"New York City, NY",Nazareth,Oklahoma,560999
33,0,20,Aubrey Joens,Sr.,G,5-9,"Iowa City, IA",Iowa City,Oklahoma,560999
33,33,1,Nevaeh Tot,Sr.,G,5-3,"Columbus, OH",John Paul II,Oklahoma,560999
